E1AB	DockLeftLegacyMirrored
E1AC	DockRightLegacyMirrored
E1AD	ImportLegacyMirrored
E1AE	ImportAllLegacyMirrored
E1AF	MailReplyLegacyMirrored
E1B0	ItalicCLegacy
E1B1	BoldGLegacy
E1B2	UnderlineSLegacy
E1B3	BoldFLegacy
E1B4	ItalicKLegacy
E1B5	UnderlineULegacy
E1B6	ItalicILegacy
E1B7	BoldNLegacy
E1B8	UnderlineRussianLegacy
E1B9	BoldRussionLegacy
E1BA	FontStyleKoreanLegacy
E1BB	UnderlineLKoreanLegacy
E1BC	ItalicKoreanLegacy
E1BD	BoldKoreanLegacy
E1BE	FontColorKoreanLegacy
E1BF	ClosePaneLegacyMirrored
E1C0	OpenPaneLegacyMirrored
E1C2	EditLegacyMirrored
E1C3	StreetLegacy
E1C4	MapLegacy
E1C5	ClearSelectionLegacy
E1C6	FontDecreaseLegacy
E1C7	FontIncreaseLegacy
E1C8	FontSizeLegacy
E1C9	CellPhoneLegacy
E1CA	ReshareLegacy
E1CB	TagLegacy
E1CC	RepeatOneLegacy
E1CD	RepeatAllLegacy
E1CE	OutlineStarLegacy
E1CF	SolidStarLegacy
E1D0	CalculatorLegacy
E1D1	DirectionsLegacy
E1D2	LocationLegacy
E1D3	LibraryLegacy
E1D4	PhoneBookLegacy
E1D5	MemoLegacy
E1D6	MicrophoneLegacy
E1D7	PostUpdateLegacy
E1D8	BackToWindowLegacy
E1D9	FullScreenLegacy
E1DA	NewFolderLegacy
E1DB	CalendarReplyLegacy
E1DC	CalendarLegacyMirrored
E1DD	UnsyncFolderLegacy
E1DE	ReportHackedLegacy
E1DF	SyncFolderLegacy
E1E0	BlockContactLegacy
E1E1	SwitchAppsLegacy
E1E2	AddFriendLegacy
E1E3	TouchPointerLegacy
E1E4	GoToStartLegacy
E1E5	ZeroBarsLegacy
E1E6	OneBarLegacy
E1E7	TwoBarsLegacy
E1E8	ThreeBarsLegacy
E1E9	FourBarsLegacy
E1EA	ItalicRussianLegacy
E1EC	AllAppsLegacyMirrored
E1ED	OpenWithLegacyMirrored
E1EE	BookmarksLegacyMirrored
E1EF	MultiSelectLegacyMirrored
E1F1	ShowResultsLegacyMirrored
E1F2	MailReplyAllLegacyMirrored
E1F3	HelpLegacyMirrored
E1F4	ClearSelectionLegacyMirrored
E1F5	RecordLegacy
E1F6	LockLegacy
E1F7	UnlockLegacy
E1FD	DownLegacy
E206	CommentInlineLegacy
E208	FavoriteInlineLegacy
E209	LikeInlineLegacy
E20A	VideoInlineLegacy
E20B	MailMessageLegacy
E211	PC1Legacy
E212	DevicesLegacy
E224	RatingStarLegacy
E228	ChevronDownSmLegacy
E248	ReplyLegacy
E249	Favorite2Legacy
